id,year,pp,empl,x1,x2,x3,x4,x5,x6,y0,y1,y2,nace42,nace43,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,sales,costs,assets,beta,omega,mu,pp1,pp2,pp3,pp4
46578021,2018,1,190,.29915082,.22026704,.26347584,.37290952,.26492533,.25064895,.24069661,-.0094684167,.30276051,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.207237,19.436264,20.397152,.52941835,6.8210583,1.3014458,1,1,1,1
46578021,2019,0,190,.22026704,.26347584,.37290952,.26492533,.25064895,.24069661,-.0094684167,.30276051,.30696154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.442043,19.414263,20.577532,.52246934,6.8831158,1.4519529,1,1,1,1
46578021,2020,1,190,.26347584,.37290952,.26492533,.25064895,.24069661,-.0094684167,.30276051,.30696154,.15507987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20.225773,19.321657,19.130827,.56909114,7.0104933,1.3033336,0,1,1,1
46578021,2021,1,190,.37290952,.26492533,.25064895,.24069661,-.0094684167,.30276051,.30696154,.054796956,.21798013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.973478,19.232746,19.141237,.56572217,6.9613924,1.2848589,1,0,1,1
46964541,2010,1,92,,,.25618324,.26492724,.22010061,.39537561,.37033761,.39321804,.34392071,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.889484,18.110235,17.583353,.58129102,6.7819552,1.2919894,1,0,0,0
46964541,2011,1,92,,.25618324,.26492724,.22010061,.39537561,.37033761,.39321804,.34392071,.28987536,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.097841,18.003349,17.491795,.58082044,6.7640443,1.3033361,1,1,0,0
46964541,2012,1,92,.25618324,.26492724,.22010061,.39537561,.37033761,.39321804,.34392071,.28987536,.33207849,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.152758,18.018141,17.947947,.56563252,6.6612096,1.2462021,1,1,1,0
46964541,2013,1,92,.26492724,.22010061,.39537561,.37033761,.39321804,.34392071,.28987536,.33207849,.37516651,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.539089,17.794998,17.792839,.56341076,6.7757597,1.4849418,1,1,1,1
46964541,2014,1,92,.22010061,.39537561,.37033761,.39321804,.34392071,.28987536,.33207849,.37516651,.37928233,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.877802,17.669453,17.678476,.56309265,6.7204022,1.4482235,1,1,1,1
46964541,2015,1,92,.39537561,.37033761,.39321804,.34392071,.28987536,.33207849,.37516651,.37928233,.36577475,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.162014,17.776224,17.783918,.5630818,6.7678599,1.4817414,1,1,1,1
46964541,2016,1,92,.37033761,.39321804,.34392071,.28987536,.33207849,.37516651,.37928233,.36577475,.40917477,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.060627,18.015154,17.685404,.57456124,6.8214736,1.4104668,1,1,1,1
46964541,2017,1,92,.39321804,.34392071,.28987536,.33207849,.37516651,.37928233,.36577475,.40917477,.40233815,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.065807,18.047508,17.873177,.56919867,6.7528906,1.3362609,1,1,1,1
46964541,2018,1,92,.34392071,.28987536,.33207849,.37516651,.37928233,.36577475,.40917477,.40233815,.39231649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.389524,18.188099,17.551649,.58501822,6.8898549,1.3938622,1,1,1,1
46964541,2019,1,92,.28987536,.33207849,.37516651,.37928233,.36577475,.40917477,.40233815,.39231649,.34510529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.436708,18.444077,17.581882,.59264684,7.0197482,1.4552337,1,1,1,1
46964541,2020,1,92,.33207849,.37516651,.37928233,.36577475,.40917477,.40233815,.39231649,.34510529,.35133734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.62851,18.195663,17.622585,.5828346,6.9306989,1.4612355,1,1,1,1
46964541,2021,1,92,.37516651,.37928233,.36577475,.40917477,.40233815,.39231649,.34510529,.31153819,.34845716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.659613,18.393793,17.587858,.59073848,6.9919815,1.4416305,1,1,1,1
47666374,2010,1,60,,,.27677825,.43059254,.36030814,.38489482,.36012727,.22726388,.19811141,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.261932,17.596409,16.402649,.6044997,6.7561064,1.3188739,1,1,1,0
47666374,2011,0,60,,.27677825,.43059254,.36030814,.38489482,.36012727,.22726388,.19811141,.27548,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.516628,18.025507,16.21138,.62560922,7.0677085,1.5381687,1,1,1,1
47666374,2012,0,60,.27677825,.43059254,.36030814,.38489482,.36012727,.22726388,.19811141,.27548,.31487373,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.604918,17.909561,16.555595,.60984391,6.9307947,1.4337711,0,1,1,1
47666374,2013,1,60,.43059254,.36030814,.38489482,.36012727,.22726388,.19811141,.27548,.31487373,.36450565,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.753571,18.069979,16.406349,.62040949,7.0212388,1.4694598,0,0,1,1
