id,year,costs,assets,sales,wva,ws,lp,cm,legal_form,subject_type,inst_sector,empl_num,empl_cat,nace,cs,iis,COGSS,nace2,GO,W,II,COGS,VA,L,deflatorgfcp,deflatorintp,deflatorprdp,deflatorvalp,deflatorgdp,deflatorcpi,rGO,rVA,rII,rW,rK,rCOGS,go,w,ii,va,l,k,cogs,lagExists,entry,exit,pp_sales,tenders,pp_dummy,pp_share,lgExist,trim,s_g,s_g_p_1,s_g_p_2,s_g_p_3,s_g_p_4,s_g_p_5,s_g_p_95,s_g_p_96,s_g_p_97,s_g_p_98,s_g_p_99,costshare,cs_p_1,cs_p_99,betahat_tl,muhat_tl,meanpp,treated,i,t,markup,Y,Ei,K,D,D1,nace41,nace42,nace43,sector,public,foreign,empl
26346575,2009,269823000,20864000,288732000,.69309998,.18530001,639983.5,.66290003,Joint stock company,Company,Non-financial corporations national private,189,50 - 99 employees,421200,.93451023,.74921024,.33709997,42,288732000,53502040,216320976,97331552,72411024,113.14514,.96230006,.98339999,1.0049,1.0559,.95243758,.91689593,287324128,68577544,219972528,58351268,21681386,98974528,19.476122,17.881992,19.209013,18.043476,4.7286716,16.891964,18.410374,1,0,0,0,1,0,0,1,1,2.9030108,1.0504562,1.0846872,1.1125567,1.1282047,1.1556506,4.7947321,5.0236387,5.7905607,6.7165751,7.7605453,.82030398,.18825078,.99480075,.95175815,1.6955471,.14285715,1,26346576,4,1.6955471,.52800548,14,-10,0,0,0,1,0,3,0,0,1
26349451,2017,45635000,4941000,50888000,.40290001,.084600002,47537416,.19209999,Limited liability company,Company,Non-financial corporations public,60,250 - 499 employees,432200,.89677328,.81217325,.80790001,43,50888000,4305125,41329872,41112416,9558128,.20106536,.99970001,1.0227,1.0461,1.0997,1.024633,1.0315078,48645444,8691578,40412508,4173623,4942482.5,40199880,17.700069,15.244295,17.51465,15.977865,-1.6041253,15.413379,17.509375,1,0,0,0,1,0,0,1,1,1.2100893,1.031039,1.0880702,1.1210079,1.1580563,1.179859,5.6282725,6.1563692,7.4514561,9.043766,12.48571,.89051342,.12277135,.99353218,.94520038,1.8064609,0,0,26349452,12,1.8064609,.59136963,,,0,0,0,0,1,4,1,0,1
26355639,2017,28167000,15328000,28514000,.51749998,.23280001,27421364,.61869997,Limited liability company,Company,Non-financial corporations national private,11,10 - 19 employees,431000,.98783052,.75503051,.38130003,43,28514000,6638059.5,21528940,10872389,6985060,.25473058,.99970001,1.0227,1.0461,1.0997,1.024633,1.0315078,27257432,6351787,21051082,6435297,15332600,10631064,17.120836,15.677308,16.862463,15.664247,-1.3675488,16.545492,16.179291,1,0,0,0,3,0,0,1,1,2.563942,1.031039,1.0880702,1.1210079,1.1580563,1.179859,5.6282725,6.1563692,7.4514561,9.043766,12.48571,.40945932,.12277135,.99353218,.88221067,2.1163297,0,0,26355640,12,2.1163297,.74968332,,,0,0,0,0,1,3,0,0,0
26358344,2010,29528000,3659000,25415000,1.5171001,.37110001,220206.91,.066500001,Limited liability company,Company,Non-financial corporations national private,23,25 - 49 employees,412000,1.1618335,.79073352,.93349999,41,25415000,9431507,20096492,23724902,5318508,24.152321,.93330002,.98640001,1.0035,1.0437,.93886238,.93039924,25326358,5095820.5,20373572,10137054,3920497,24052010,17.047356,16.131708,16.82975,15.443932,3.1843805,15.181729,16.995729,1,0,0,0,1,0,0,1,1,1.052983,1.0362214,1.0591097,1.0899973,1.1201819,1.1311389,4.6105056,5.1926022,5.997313,7.0211411,9.9188604,.85984462,.17120239,.9910233,.93163157,1.6898329,0,0,26358344,5,1.6898329,.52462965,,,0,0,1,0,0,3,0,0,1
26363267,2007,98113000,2064000,98153000,.95839995,.36840001,,.2308,Joint stock company,Company,Non-financial corporations national private,82,100 - 199 employees,432200,.99959248,.63119245,.76919997,43,98153000,36159564,61953432,75499288,36199568,,.97470003,.94800001,.95429999,.96279997,.91012228,.85337996,102853400,37598224,65351720,42372172,2117574.5,79640600,18.448814,17.562002,17.995295,17.442467,,14.565782,18.193035,1,0,0,0,1,0,0,1,1,1.2914695,1.0915266,1.132465,1.1496336,1.1640477,1.1786879,5.0683594,5.9166064,6.2009907,6.4970469,9.9240561,.97409952,.19257173,.99529177,.98184979,1.7607569,.06666667,1,26363268,2,1.7607569,.56574374,11,-9,0,0,0,0,1,3,0,0,1
26363402,2017,210763000,8405000,216948000,.46610001,.075199999,212078,.8822,Limited liability company,Company,Non-financial corporations national private,23,20 - 24 employees,412000,.97149086,.89629084,.1178,41,216948000,16314489,194448512,25556474,22499488,106.09063,.99970001,1.0227,1.0461,1.0997,1.024633,1.0315078,207387440,20459660,190132512,15816156,8407522,24989220,19.150099,16.576542,19.063232,16.833965,4.6642938,15.944637,17.033955,1,0,0,0,1,0,0,1,1,8.2990761,1.031039,1.0880702,1.1210079,1.1580563,1.179859,5.6282725,6.1563692,7.4514561,9.043766,12.48571,.74825323,.12277135,.99353218,.92064959,1.8474529,.25,1,26363402,12,1.8474529,.61380786,15,-3,0,0,1,0,0,3,0,0,1
26364751,2019,59771000,24535000,63586000,.37779999,.12729999,61367316,.57980001,Limited liability company,Company,Non-financial corporations national private,19,10 - 19 employees,412000,.9400025,.81270254,.42019999,41,63586000,8094497.5,51676504,26718836,11909496,.19406904,1.0422,1.0893,1.1511,1.3053,1.091812,1.0836875,55239336,9123953,47440100,7469401.5,23541548,24528444,17.827187,15.826325,17.674978,16.026413,-1.6395413,16.974277,17.015345,1,0,0,0,1,0,0,1,1,2.2520523,1.0162288,1.038648,1.0981921,1.1196311,1.1540394,5.728282,6.654798,7.4571481,8.9106579,15.362205,.51026517,.10845396,.99716008,.9034645,2.025125,0,0,26364752,14,2.025125,.70563143,,,0,0,1,0,0,3,0,0,1
26370581,2018,11328000,1354000,18823000,.35799998,.26409999,18117428,.56630003,Limited liability company,Company,Non-financial corporations national private,10,10 - 19 employees,412000,.60181695,.33771697,.43369997,41,18823000,4971154,6356846.5,8163534.5,12466154,.68807524,1.0042,1.0495,1.0898,1.1865001,1.0509413,1.0536801,17271976,10506661,6057024,4717897,1348337,7778499,16.664597,15.366874,15.616729,16.167521,-.37385708,14.114383,15.866874,1,0,0,0,1,0,0,1,1,2.2204766,1.0266745,1.0945905,1.111135,1.1430514,1.1694239,5.6949763,6.1066656,6.9033761,8.3019028,11.396701,.85226679,.12412826,.99643099,.91078848,1.9136508,0,0,26370580,13,1.9136508,.6490128,,,0,0,1,0,0,3,0,0,0
26371685,2011,20418000,1263000,21537000,.76109999,.30939999,673461.56,.449,Limited liability company,Company,Non-financial corporations national private,15,10 - 19 employees,412000,.94804293,.63864291,.551,41,21537000,6663547.5,13754452,11866887,7782548,11.556039,.92129999,.99070001,1,1.021,.93866926,.94823706,21537000,7622476,13883569,7027301.5,1370889,11978285,16.885283,15.765313,16.446217,15.846612,2.4472082,14.13097,16.298607,1,0,0,0,1,0,0,1,1,1.7980037,1.0469195,1.0984589,1.1104013,1.1330054,1.1513073,5.0701132,5.7133799,6.7394581,8.4747629,13.702625,.89730531,.17771626,.99270868,.92505795,1.7494181,.5,1,26371684,6,1.7494181,.55928326,7,-1,0,0,1,0,0,3,0,0,0
26371821,2007,69265000,3376000,70927000,.57889998,.12810001,,.58639997,Limited liability company,Company,Non-financial corporations national private,22,25 - 49 employees,412000,.97656745,.84846747,.41360003,41,70927000,9085749,60179252,29335410,10747748,,.97470003,.94800001,.95429999,.96279997,.91012228,.85337996,74323592,11163012,63480224,10646780,3463629.8,30944524,18.12394,16.180769,17.96624,16.228117,,15.057828,17.247707,1,0,0,0,1,0,0,1,1,2.4018335,1.0915266,1.132465,1.1496336,1.1640477,1.1786879,5.0683594,5.9166064,6.2009907,6.4970469,9.9240561,.89933693,.19257173,.99529177,.94210809,1.7548805,.60000002,1,26371820,2,1.7548805,.56240082,3,-1,0,0,1,0,0,3,0,0,1
26375923,2011,9963000,1821000,10608000,.53369999,.1407,,.31889999,Limited liability company,Company,Non-financial corporations national private,24,10 - 19 employees,431200,.93919683,.79849684,.68110001,43,10608000,1492545.6,8470455,7225109,2137545,,.92129999,.99070001,1,1.021,.93866926,.94823706,10608000,2093579.8,8549970,1574021.6,1976554.9,7292933,16.177118,14.269144,15.961438,14.554386,,14.496866,15.802417,1,0,0,0,1,0,0,1,1,1.4545588,1.0469195,1.0984589,1.1104013,1.1330054,1.1513073,5.0701132,5.7133799,6.7394581,8.4747629,13.702625,.7867676,.17771626,.99270868,.90246719,1.8312916,.2857143,1,26375924,6,1.8312916,.60502148,13,-7,0,0,0,0,1,3,0,0,1
